Title,Authors,Citations_counts,Year,Journal,Abstract
"Meaning at the Planck scale? Contextualized word embeddings for doing history, philosophy, and sociology of science",A Simons,2,2024,arXiv preprint arXiv:2411.14073,"This paper explores the potential of contextualized word embeddings (CWEs) as a new tool in the history, philosophy, and sociology of science (HPSS) for studying contextual and evolving meanings of scientific concepts. Using the term"" Planck"" as a test case, I evaluate five BERT-based models with varying degrees of domain-specific pretraining, including my custom model Astro-HEP-BERT, trained on the Astro-HEP Corpus, a dataset containing 21.84 million paragraphs from 600,000 articles in astrophysics and high-energy physics. For …"
Science Studies and Sociology,NoAuthors,1,2022,NoJournal,"… In historians of science, however, the sociology of scientific knowledge has found its most … of science as an ""audience"" is to miss the character of the relationship. Most sociologists have …"
The sociology of science and social constructivism,ME Lynch,9,2019,The Routledge handbook of social epistemology,Constructivism is a theoretical position that became prevalent in the sociology of science from the late 1970s through the 1990s. This chapter deals with an account of the “new” sociology of scientific knowledge and the development of social constructivism as a key position associated with it. It discusses some of the disputes about constructivism that culminated in the “science wars” of the 1990s. The chapter also discusses the aftermath of the dissolution of constructivism in science and technology studies in favor of a variety of …
"Robert Merton and the Sociology of Science: The Sociology of Science: Theoretical and Empirical Investigations, Robert K. Merton",K Prewitt,3,2022,Social Research: An International Quarterly,"In 1949, Robert Merton asked:"" Why did sociology document the problems and performance of the professional thief… but not the problems and performance of the professional social scientist?"" Unsuccessfully, he argued for a systematic study of the"" social science of social science."" This essay, seven decades later, returns to Merton's question, now reframed as"" using science as evidence in public policy."" Policy use is less robust than it can and should be. This would not be the case if Merton's systematic study had been mounted. The good …"
SOCIOLOGY OF SCIENCE AND TECHNOLOGY,"YM BATURIN, EN BUDREYKO, SP PROKHOROV",0,2022,SOCIOLOGY,"… is to demonstrate that sociology of science/technology is addressing a set of questions central to all sociology. In this selection of research from the ""new"" sociology of science, Social …"
Introduction: A cultural sociology of the authority of science,"D Houtman, S Aupers, R Laermans",6,2021,Science Under Siege: Contesting the …,"This chapter introduces a cultural-sociological account of contemporary contestations of the authority of science—contestations that suggest a decline in the authority of science and religion alike (‘postmodernization’) rather than its shift from religion to science (‘modernization’). This is why theoretical inspiration is sought from theories about the authority of religion. Informed by the theory of secularization, Part I discusses the erosion of the authority of science vis-à-vis other social realms. Informed by classical sociological theories about the social significance of religion, Part II then addresses the role of cultural worldviews in denying the authority of scientific truth claims. Informed by theories about the declining authority of religious institutions, finally, Part III argues that scientific institutions rather than science per se are losing their authority."
Towards a Sociology of Science and Theology,ZT Kamwendo,0,2024,Science and Religion: Approaches from Science and …,"The empirical focus of the chapter is senior church leaders’ views on science and religion. I draw on this body of work to illustrate how my Science and Technology Studies (STS) approach leads to what can be thought of as a sociology of science and theology which I argue should have a place in the Social Study of Science and Religion. The main argument is that STS, and more specifically Sociology of Scientific Knowledge, helps scholars of science and religion to engage more fully with theoretical questions around the relationship between knowledge, practice, and ethics salient in the context of religious communities."
Sociology of expertise as public sociology,G Eyal,0,2023,Research Handbook on Public Sociology,"The coronavirus pandemic has made clear the dilemma faced by sociologists of expertise. Their analyses are more in demand than ever before. They can and must be public sociologists. But can they speak about expertise without undermining public trust in science and experts? Their bread-and-butter is to demonstrate the inherent contingency and subjectivity of experts’ judgments, measurements, and forecasts. But now everybody knows how to do this, and the consequences of critical proliferation are not reassuring. Openly scornful, Andrew Cuomo, the Governor of the State of New York as of the time of writing this chapter (March 2021), says he does not trust “the experts”(and insists on the air quotes). Nine of the state’s top public health officials resign in protest (Goodman et al. 2021). Displaying an astute grasp of the contingent nature of expert measurements, a few mothers organize a Twitter campaign to encourage healthy people to get tested in order to lower the positivity rate in their neighborhood so schools can reopen. What can sociologists of expertise say that would not be adding fuel to the fire? If the order of the day is to shore up trust in experts, do we have even the slightest inkling how to do this?
Maybe it is not the order of the day? Mistrust of experts might be justified in light of their dismal track record. Think Three Mile Island, Chernobyl, Fukushima. Recall the United States (US) Surgeon General’s disastrous tweet:“seriously people—STOP BUYING MASKS! They are NOT effective in preventing general public from catching# Coronavirus”(Tufekci 2020). Perhaps the problem is not people’s lack of trust in experts—Americans routinely express high levels of trust in scientists (Pizmony-Levy 2021), and Europeans are not far behind (Lazarus et al. 2021)‒but the experts’ lack of trust in people? In this context, calling attention to the hubris of experts is what public sociology needs to do. And yet, this is not altogether convincing. When the pandemic is over and the post-mortem begins, it is likely to finger the mistrust of experts. The overwhelming fact about the pandemic is a huge discrepancy in daily death ratios between the Western liberal democracies and the East Asian countries: upwards of 1500 deaths per million in the US, United Kingdom (UK), Belgium, Spain, Italy, and so on, as against 3‒69 per million in China, Taiwan, South Korea, Vietnam, or Japan. I am not suggesting that mistrust in experts explains this difference by itself. Such a huge, sprawling fact is no doubt due to multiple, interacting factors. And yet, the degree of contestation around expertise—what I have called, before the pandemic, a “crisis of expertise”(Eyal 2019)—certainly correlates with this divide. In the US, UK, and the European Union, there is intense conflict between epidemiologists, virologists, medical doctors, hospital directors, economists, physicists,“coronavirus influencers,” and politicians over who has the relevant expertise to deal with the pandemic. There is no doubt that this conflict undermines trust in public health authorities. In the East Asian countries, in contrast, there is a specific group of experts who enjoy more credibility than all others. They are called “SARS Heroes”: people such as Zhong Nanshan and Zhang Wenhong in China, Joseph Sung and Yuen Kwok-Yung in Hong Kong. In Taiwan, the Vice-President is a well-recognized “SARS Hero.”"
The sociology of the scientific community,T Pinch,37,2020,Companion to the history of modern science,Over the last decade and a half the sociology of the scientific community has become inseparable from the sociology of the products of that community-namely scientific knowledge. For epistemological reasons it had been previously assumed that there was nothing of interest which sociologists could say about scientific knowledge. That has all changed. Undoubtedly the major development in the field of sociology of science has been the emergence of the sociology of scientific knowledge.
Introduction: How the sociology of science and technology addresses science and society relations,A Delicado,3,2021,Communicating Science and Technology in Society …,"The sociology of science and technology is paying growing attention to how the scientific field connects with other spheres of society. Increasingly pushed to leave their “ivory tower”, to become accountable to taxpayers, to generate useful, marketable products, to take responsibility for negative impacts, to engage with the concerns of citizens and stakeholders and regain their trust, scientists are thus incentivised to establish ties with non-academic actors. This chapter provides a brief overview of how the sociology of science and technology has been addressing the issue of science and society relations. It then summarises the chapters included in this book."
The sociology of science in Africa,"N Boshoff, J Mouton, S Ngwenya",1,2022,NoJournal,"… as the scientific production of African countries and trends in research collaboration … African countries and the rest of the world, as well as the changing regimes of science funding on the …"
The legitimacy of science,GW Gauchat,16,2023,Annual Review of Sociology,… The ongoing pandemic and quickening climate … the significance of science and science policy to our world. These global catastrophes have laid bare the fragility of science's legitimacy …
SOCIOLOGY OF SCIENCE AND TECHNOLOGY,"E KART, EB ADAS",0,2023,SOCIOLOGY,"… is to demonstrate that sociology of science/technology is addressing a set of questions central to all sociology. In this selection of research from the ""new"" sociology of science, Social …"
Sociology and History of Science,NoAuthors,0,0,NoJournal,… Sociologists of science have concentrated on this characteristic of science as a tradition and … The questions they deal with are: How did this unique tradition of modern science emerge …
Bourdieu's Philosophy and Sociology of Science: A Critical Appraisal,KM Kim,1,2023,NoJournal,"This book explores Pierre Bourdieu's philosophy and sociology of science, which, though central to his thought, have been largely neglected in critical examinations of his work. Addressing the resultant confusion that surrounds Bourdieu's sociologized philosophy of science, it expounds his epistemology and sociology of science, situating it within the context of Anglo-American post-positivist philosophy of science and shedding light on the critique of relativist sociology of science that emerges from his field theory. From a detailed …"
Experimentation in the sociology of science: Representational and generative registers in the imitation game,R Wehrens,8,2019,Studies in History and Philosophy of Science Part A,"The 'experiment'has been a central topic in the history and sociology of science, especially since Science & Technology Studies (STS) set out to empirically study the segregated laboratory spaces where scientific experimentation takes place (Collins, 1985; Knorr-Cetina, 1981; Latour & Woolgar, 1979). Historical approaches focused on understanding how the experimental mode of knowledge production became dominant in the natural sciences, and to what effects (Shapin and Shaffer, 1985).The perception that experiments are primarily …"
"The History, Philosophy, and Sociology of Science in Science Teaching",AFP Martins,2,2020,Science Education Research in Latin America,"In this chapter, we assume that the importance of the History, Philosophy and Sociology of Science (HPSS) for Science Education is well known. In the areas of Science Education and Science Education research, HPSS has found an unmistakable niche in recent decades. HPSS has potential in science education as both content in itself and didactic strategy. Using this (apparent) consensus as background, we will discuss three issues:(1) Difficulties and obstacles to the effective use of historical-philosophical approaches in basic (primary and secondary) and higher education;(2) The risks of an epistemologically equivalent treatment of everyday and scientific knowledge; and (3) The likely harm caused to high quality science education by an extreme relativist view of science. In our discussion, we point out that reasons for teaching science must go beyond the perspective of understanding the natural and technological world, also including the way in which this understanding is achieved. Science consists of special knowledge, with its own language and epistemology, which differ from other forms of knowledge (everyday knowledge, in particular). Learning about science also involves learning about these differences. This is important to avoid an extreme relativist view of science. HPSS plays a crucial role in this process. Although learning about science is not provided exclusively by a historical-philosophical approach, the latter has proved to be an excellent path to achieve this goal. HPSS, along with other theoretical-methodological tendencies and approaches, continues to be a fertile field providing elements that lay the foundation for epistemologically-oriented scientific education."
"“Social Priming” Through the Lens of Sociology of Science: Fuzzy Boundary, Personal Experience, and Broader Atmosphere",SWS Lee,4,2021,Psychological Inquiry,"Sherman and Rivers (this issue) provide a helpful recent-historical perspective on the term “social priming” and the body of work it’s supposed to label. They put their finger on experimental design (between-subjects vs. within-subject)—rather than the presence or absence of social content in the study—as the key determinant of whether other scientists and journalists consider a particular finding to be inside or outside the scope of social priming. They also make it clear that substantially different sample sizes are required to achieve the same level of statistical power (80%) in betweensubjects and within-subject experiments examining the same phenomenon of interest. Statistics aside, their primary conclusion is that “there’s nothing social about social priming” and that “it is well past time to finally put to rest the label ‘social priming.’” I argue that there is something social about social priming, but more importantly, that there is something sociological about the story of social priming, rendering the label unlikely to be put to rest. I propose that the label as used by observers has a fuzzy boundary that is more determined by family resemblance than clear-cut criteria. I will also share my personal experience as a recipient of Kahneman’s letter and a researcher in a related area of work with another stigmatized label, embodied cognition. I will conclude by reflecting on the broader atmosphere of our field for researchers of social priming and related topics."
Sociology of law and science,"E Cloatre, M Pickersgill",9,2020,Research Handbook on the Sociology of …,"… to refer to the philosophy of law, the science of law, and the study of legal doctrine. … sociology and tried to conceptualize what is law, it is time to take a closer look at what is meant by the …"
Sociology of Science: Why They Are Mostly Wrong,NoAuthors,0,0,NoJournal,… I believe that sociology has little or no core and I try to explain why it does not develop one as the natural sciences do. … which are constant (the structure of the atom) and sciences like …
History and Sociology of Science During the Crisis and Transitional Periods of Social Development,"L RYZHKO, A LYTVYNKO, O ZHYVAHA",0,2024,Science and Innovation,"Introduction. During critical or crisis periods of social development, the need to search for forms of interaction"
ImagInarIes of Care and sCIenCe In anthropoCene UtopIan fUtUrology. the soCIology of sCIenCe In KIm s. robInson's THE MINISTRY FOR THE FUTURE,M Zaród,0,2024,Studia Socjologiczne,"The article analyzes climate fiction utopia 'Ministry for the Future'by Kim S. Robinson. The analytical method relies on the framework of sociotechnical imaginaries proposed by Sheila Jasanoff and Sang-Hyun Kim and combines it with the critical history of science and feminist studies of care. Since in the process of writing the novel its author went through numerous consultations with scientists, in the article this oeuvre is analyzed both as a piece of science fiction and as a futurology essay. It is examined how the institutions of science are portrayed …"
"French neopositivism and the logic, psychology, and sociology of scientific discovery",K Vaesen,6,2021,HOPOS: The Journal of the International Society …,"This article is concerned with one of the notable but forgotten research strands that developed out of French nineteenth-century positivism, a strand that turned attention to the study of scientific discovery and was actively pursued by French epistemologists around the turn of the nineteenth century. I first sketch the context in which this research program emerged. I show that the program was a natural offshoot of French neopositivism; the latter was a current of twentieth-century thought that, even if implicitly, challenged the positivism of first-generation positivists such as Comte. I then survey what French epistemologists—including Ernest Naville, Élie Rabier, Pierre Duhem, Édouard Le Roy, Abel Rey, André Lalande, Théodule-Armand Ribot, Edmond Goblot, and Jacques Picard, among others—had to say about the logic, psychology, and sociology of discovery. My story demonstrates the inaccuracy of existing historical accounts of the philosophical study of scientific discovery."
Popper's Sociology of Science and Its Political Deficit,I Jarvie+,1,2023,مجله پژوهش های فلسفی,"The paper offers a distinctive reading of Popper's work, suggesting that his Logic of Scientific Discovery (LScD) might be re-interpreted in the light of his Open Society. Indeed, Popper can be interpreted as criticising certain aspects of his first book, and as a result improving upon them, in his second. It suggests translating what Popper says about 'conventions' into his later vocabulary of 'social institutions'. Looking back, I believe that Popper never intended the language of conventions and decisions to be read individualistically. I remain …"
"From the Problem of Genius to the Integration of Philosophy, History, and Sociology of Science: Edgar Zilsel's Life and Work Viewed in the Context of Recent …",NoAuthors,0,2022,NoJournal,"Edgar Zilsel (1891–1944) was a typical outsider for several reasons – as a Jew, socialist, and scholar outside the university aiming at an integrated history, philosophy, and sociology of science from a materialistic point of view. His main publications and research projects in Vienna (on induction and probability, the problem of genius, philosophy in political context) and after his forced migration (on the origins of modern science and the laws of nature and history) are described and analyzed here in their diachronic and synchronic connections and contexts. Even though Zilsel’s projects were left uncompleted for largely external reasons, their underlying continuity and unity can serve as a heuristic tool for interpreting his complex life’s work. Below, a bio-bibliographical sketch of Zilsel from Vienna to the exile years in the USA (with a case study on Zilsel in Harvard 1939) is followed by a survey of research on Zilsel from the 1970s to the present. The conclusion compares Zilsel’s work before, during, and after his Vienna Circle period: despite the criticisms of and extensions to his work (esp. the “Zilsel thesis”), the relevance of his achievements and his unfinished research program stands undiminished."
What makes a good PhD thesis? Norms of science as reflected in written assessments of PhD theses,"S Kobayashi, C Emmeche",6,2023,Assessment & Evaluation in Higher …,"This study looks at assessment of PhD theses from two perspectives: criteria in use in assessment reports at a science faculty and norms of science. Fifty assessment reports were analysed inductively, resulting in thirteen categories that examiners consider when assessing a thesis. These categories were compared with norms of science as described in the sociology of science. The study shows a high congruence between the two perspectives, but also new categories worthy of further discussion and research. Relevance of the thesis research and quality by proxy (that publication is an indicator of quality) stand out very clearly in this study compared with earlier assessment research. These two categories are both relatively new categories in assessment research and indicate that the classical norms of science are changing with an increasing influence of post-academic norms in academia."
Strong Programme in the Sociology of Scientific Knowledge,G Rees,3,2019,Sage Research Methods Foundations,"The Strong Programme in the Sociology of Scientific Knowledge, developed in the 1960s at the University of Edinburgh, provides sociological explanations for the achievement of the status of knowledge for certain claims at the expense of others. Often referred to simply as the Strong Programme, Sociology of Scientific Knowledge (SSK), or the Edinburgh School, it is critical of previous sociologies of science that had avoided discussing scientific knowledge itself and focused on the norms and values of science as a career (see for instance Merton, 1942). Such an approach was antithetical to most of the scholarship within the history and philosophy of science of the time, notably the works of Imre Lakatos, who argued that correct knowledge was self-evident and did not require further explanation. Rather, Lakatos claimed, it was incorrect knowledge or unsupported beliefs that required explanation, with social factors impeding knowledge, resulting in bias that lead to incorrect claims. Strong Programmers such as Barry Barnes, David Bloor, and others were critical of such a sociology of error (where only error was explained via sociological explanation) and instead produced a programme for the study of the sociology of scientific knowledge, based on four key tenets: 1. It would be causal, that is, concerned with the conditions that bring about belief or states of knowledge. Naturally, there will be other types of causes apart from social ones which will cooperate in bringing about belief. 2. It would be impartial with respect to truth and falsity, rationality or irrationality, success or failure. Both sides of these dichotomies will require explanation. 3. It would be symmetrical in its style of explanation. The same types of cause would explain, say, true and false beliefs. 4. It would be reflexive. In principle, its patterns of explanations would have to be applicable to sociology itself.(Bloor, 1991, p. 7) This entry explores the transition from weak to strong forms in the sociology of science, before highlighting some of the misunderstandings surrounding the Strong Programme, particularly regarding its relativism and the conventional nature of knowledge. This entry concludes with a discussion of one of the most powerful tools developed by the Strong Programme, finitism (Barnes et al., 1996), which continues to be used to study a range of scientific, technological, and medical practices."
The politics of calculation. Towards a sociology of quantification in governance,D Demortain,32,2019,Revue d'anthropologie des connaissances,"A diversity of modes of quantification in contemporary societies have now been explored, following the path of scholars who inspired this field, such as Alain Desrosières. This introduction to the special issue of the Revue d'Anthropologie des Connaissances on the politics of calculation argues that there remains a gap between different strains of the sociology of quantification-one that emphasizes the governmentality it embodies and the discipline it establishes, the other that pays attention to the collective mobilization capacities …"
PERSPECTIVES ON THE SOCIOLOGY OF SCIENCE,NoAuthors,0,0,NoJournal,… In this paper I argue that the analytic perspective known as the ’sociology of scientific … of science. In particular. I suggest that three pervasive features of academic scientific practice …
The sociology of ignorance and post‐truth politics,DJ Hess,44,2020,Sociological Forum,"This essay is written in response to Fujimura and Holmes’s piece “Staying the Course,” published in the December 2019 special issue of Sociological Forum—Resistance in the Twenty‐First Century."
"Science, Part II: The Study of Science",B Hjørland,2,2022,KO KNOWLEDGE ORGANIZATION,"… The value proposition of SciSci hinges on the hypothesis that with a deeper understanding of the factors behind successful science, we can enhance the prospects of science as a …"
"Scientific Thinking and Critical Thinking: A Keystone for History, Philosophy and Sociology of Science Teaching",Á Vázquez,1,2019,Alonso… - Re-introducing science …,"Scientific thinking (or scientific reasoning as it is also labelled) emerged in science education mainly from the contributions from history, philosophy, sociology, nature and processes of science (Kind 2013). On the other hand, critical thinking is a construct created within the framework of cognitive psychology yet it has been especially cultivated in philosophy. This paper elaborates both research programs on critical and scientific thinking to unveil its resemblance and relationships, to clarify their understanding and to enhance their implementation in science education by teachers, who are not specialists in these issues. As a consequence of the resemblance, the claim that critical thinking may be considered a crosscutting concept for science education is advocated and discussed. A wide literature on history, philosophy, sociology (HPS thereafter) and nature of science, socio-scientific issues, argumentation, metacognition, reflection, and some papers on processes of science often display a set of cognitive, epistemic, procedural and value skills that are put into play in scientific practice.
Some papers use the label scientific reasoning to refer to scientists’ habits of mind, yet this label may convey some reductionism to logic thinking. Kind (2013) traces back the history of scientific reasoning to conclude that it involves three types of knowledge (content, procedural and epistemic). Further, Kind and Osborne (2016) consider a failure the lack of consensus about the meaning of scientific reasoning and draw from Crombie (1994) a taxonomy that involves six styles of scientific reasoning, namely, mathematical deduction, experimental exploration, hypothetical modeling, categorization and classification, probabilistic and statistical thinking and evolutionary accounts."
On the pursuitworthiness of qualitative methods in empirical philosophy of science,"N Hangel, C ChoGlueck",21,2023,Studies in History and Philosophy of Science,"While the pursuitworthiness of philosophical ideas has changed over time, philosophical practice and methodology have not kept pace. The worthiness of a philosophical pursuit includes not only the ideas and objectives one pursues but also the methods with which one pursues them. In this paper, we articulate how empirical approaches benefit philosophy of science, particularly advocating for the use of qualitative methods for understanding the social and normative aspects of scientific inquiry. After situating qualitative methods within …"
Put to the test: For a new sociology of testing,"N Marres, D Stark",133,2020,The British Journal of Sociology,"In an age defined by computational innovation, testing seems to have become ubiquitous, and tests are routinely deployed as a form of governance, a marketing device, an instrument for political intervention, and an everyday practice to evaluate the self. This essay argues that something more radical is happening here than simply attempts to move tests from the laboratory into social settings. The challenge that a new sociology of testing must address is that ubiquitous testing changes the relations between science, engineering, and sociology …"
